epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,767.133,1.5801,1.7653,1.18462,0.38352,0.40816,0.31654,0.13234,1.55265,2.32742,1.49346,0.000253024,0.000253024,0.000253024
69,778.004,1.55084,1.74682,1.20232,0.38352,0.40816,0.31654,0.13234,1.55265,2.32742,1.49346,0.000239766,0.000239766,0.000239766
70,789.812,1.49866,1.71189,1.19059,0.22276,0.40816,0.30496,0.12925,1.52323,2.28948,1.46863,0.000226769,0.000226769,0.000226769
71,800.85,1.5113,1.69724,1.16395,0.20871,0.4415,0.3315,0.13767,1.49825,2.26359,1.44283,0.000214046,0.000214046,0.000214046
72,811.846,1.49305,1.70098,1.15474,0.20316,0.50088,0.32229,0.14256,1.51385,2.21645,1.43471,0.000201611,0.000201611,0.000201611
73,823.009,1.59468,1.74627,1.19664,0.20316,0.50088,0.32229,0.14256,1.51385,2.21645,1.43471,0.000189475,0.000189475,0.000189475
74,834.114,1.66756,1.74801,1.21554,0.20439,0.51313,0.33391,0.15108,1.54862,2.20031,1.43106,0.000177651,0.000177651,0.000177651
75,845.17,1.60964,1.78385,1.20453,0.20199,0.50614,0.32836,0.15881,1.58129,2.1902,1.43598,0.000166149,0.000166149,0.000166149
76,856.315,1.47225,1.65873,1.15278,0.20522,0.51448,0.33021,0.16073,1.58512,2.18847,1.43517,0.000154982,0.000154982,0.000154982
77,867.385,1.58193,1.69363,1.16184,0.20522,0.51448,0.33021,0.16073,1.58512,2.18847,1.43517,0.000144161,0.000144161,0.000144161
78,878.463,1.54314,1.71798,1.17838,0.18895,0.49918,0.35923,0.16225,1.60324,2.19455,1.44855,0.000133695,0.000133695,0.000133695
79,889.445,1.46848,1.63072,1.14544,0.17515,0.49109,0.34921,0.16069,1.61362,2.19681,1.45784,0.000123596,0.000123596,0.000123596
80,900.598,1.50715,1.65412,1.14677,0.17107,0.42857,0.33289,0.15977,1.58065,2.22333,1.4401,0.000113873,0.000113873,0.000113873
81,911.654,1.55509,1.75586,1.19306,0.17107,0.42857,0.33289,0.15977,1.58065,2.22333,1.4401,0.000104537,0.000104537,0.000104537
82,922.845,1.5815,1.71111,1.16635,0.18553,0.47342,0.30046,0.13252,1.55599,2.23972,1.43458,9.55951e-05,9.55951e-05,9.55951e-05
83,933.909,1.40852,1.66592,1.14182,0.18806,0.45717,0.2998,0.13386,1.53808,2.24414,1.42964,8.70577e-05,8.70577e-05,8.70577e-05
84,944.856,1.47749,1.6649,1.13561,0.18798,0.45023,0.30015,0.13421,1.52703,2.24017,1.42664,7.89327e-05,7.89327e-05,7.89327e-05
85,955.835,1.52518,1.70371,1.15789,0.18798,0.45023,0.30015,0.13421,1.52703,2.24017,1.42664,7.12282e-05,7.12282e-05,7.12282e-05
86,966.979,1.48312,1.66861,1.11991,0.18663,0.47874,0.28977,0.1333,1.52258,2.23315,1.42885,6.39518e-05,6.39518e-05,6.39518e-05
87,978.02,1.5024,1.6715,1.16677,0.1874,0.47659,0.29465,0.14473,1.51541,2.21621,1.43008,5.71106e-05,5.71106e-05,5.71106e-05
88,989.118,1.57145,1.75144,1.17049,0.18743,0.47587,0.29725,0.14825,1.51822,2.21195,1.43212,5.07115e-05,5.07115e-05,5.07115e-05
89,1000.14,1.5431,1.73861,1.1646,0.18743,0.47587,0.29725,0.14825,1.51822,2.21195,1.43212,4.47606e-05,4.47606e-05,4.47606e-05
90,1011.29,1.43401,1.61423,1.12648,0.18686,0.47341,0.30177,0.15647,1.53181,2.22443,1.44251,3.9264e-05,3.9264e-05,3.9264e-05
91,1021.79,1.43666,1.74539,1.1842,0.18995,0.4688,0.29855,0.15143,1.53532,2.24462,1.45228,3.4227e-05,3.4227e-05,3.4227e-05
92,1032.15,1.43917,1.7454,1.17272,0.18853,0.46319,0.29855,0.15111,1.53057,2.25332,1.45314,2.96546e-05,2.96546e-05,2.96546e-05
93,1042.49,1.44066,1.75462,1.18741,0.18853,0.46319,0.29855,0.15111,1.53057,2.25332,1.45314,2.55513e-05,2.55513e-05,2.55513e-05
94,1052.81,1.43745,1.70957,1.16839,0.18474,0.45805,0.3,0.15093,1.52203,2.2596,1.45064,2.19212e-05,2.19212e-05,2.19212e-05
95,1063.17,1.42848,1.70422,1.1579,0.18275,0.45127,0.29533,0.14674,1.54016,2.29437,1.46655,1.87678e-05,1.87678e-05,1.87678e-05
96,1073.52,1.4334,1.72533,1.1872,0.17621,0.42857,0.28558,0.14315,1.54224,2.30534,1.47016,1.60943e-05,1.60943e-05,1.60943e-05
97,1083.88,1.42172,1.72955,1.20801,0.17621,0.42857,0.28558,0.14315,1.54224,2.30534,1.47016,1.39032e-05,1.39032e-05,1.39032e-05
98,1094.24,1.42105,1.70549,1.2009,0.17611,0.42857,0.2838,0.13217,1.52967,2.30065,1.46251,1.21968e-05,1.21968e-05,1.21968e-05
99,1104.7,1.37136,1.6787,1.1215,0.36678,0.40522,0.2969,0.13549,1.55727,2.32695,1.48745,1.09768e-05,1.09768e-05,1.09768e-05
100,1115.1,1.36048,1.66467,1.16006,0.36564,0.40289,0.29595,0.13442,1.55538,2.33614,1.48751,1.02443e-05,1.02443e-05,1.02443e-05
